"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10374971, SEN S/N: 10208649)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10213738, LBL: 1 cm deep)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10222767, LBL: 5 cm deep)","Water Content, m³/m³ (LGR S/N: 10374971, SEN S/N: 10222870)","Wetness, % (LGR S/N: 10374971, SEN S/N: 10314897)","Voltage, V (LGR S/N: 10374971, SEN S/N: 10348616)","Current, mA (LGR S/N: 10374971, SEN S/N: 10348616)","Temp, °C (LGR S/N: 10374971, SEN S/N: 10359304)","RH, % (LGR S/N: 10374971, SEN S/N: 10359304)","DewPt, °C (LGR S/N: 10374971, SEN S/N: 10359304)","Batt, V (LGR S/N: 10374971)"
32,2014-04-25 17:01:44,29.4,19.865,19.603,0.1789,7.06,-0.1988,0.0000,18.985,65.800,12.5,4.321
33,2014-04-25 17:06:44,23.1,19.865,19.579,0.1793,8.82,-0.1988,0.0000,18.557,67.600,12.5,4.321
34,2014-04-25 17:11:44,20.6,19.841,19.579,0.1789,10.59,-0.1988,0.0000,18.366,68.300,12.4,4.321
35,2014-04-25 17:16:44,18.1,19.817,19.579,0.1793,11.76,-0.1988,0.0000,18.295,68.600,12.4,4.321
36,2014-04-25 17:21:44,15.6,19.793,19.555,0.1789,11.76,-0.1988,0.0000,18.247,69.100,12.5,4.333
37,2014-04-25 17:26:44,16.9,19.746,19.532,0.1789,12.35,-0.1988,0.0000,18.200,68.900,12.4,4.327
38,2014-04-25 17:31:44,11.9,19.722,19.532,0.1789,15.29,-0.1988,0.0000,17.891,70.200,12.4,4.321
39,2014-04-25 17:36:44,16.9,19.674,19.508,0.1789,16.47,-0.1988,0.0000,17.867,70.500,12.4,4.321
40,2014-04-25 17:41:44,15.6,19.627,19.484,0.1789,17.06,-0.1988,0.0000,17.629,71.200,12.4,4.321
41,2014-04-25 17:46:44,13.1,19.579,19.460,0.1789,20.00,-0.1988,0.0000,17.534,71.400,12.3,4.321
42,2014-04-25 17:51:44,13.1,19.555,19.436,0.1789,20.00,-0.1988,0.0000,17.629,72.100,12.6,4.333
43,2014-04-25 17:56:44,14.4,19.508,19.413,0.1789,17.65,-0.1988,0.0000,17.582,71.200,12.3,4.333
44,2014-04-25 18:01:44,11.9,19.460,19.389,0.1789,18.24,-0.1988,0.0000,17.582,71.300,12.3,4.327
